,date,time,temperature (K),windspeed (m/s),solarradiation (W/m^3
0,2021-02-15,20:00:00,300.15,3.086664,0
1,2021-02-15,21:00:00,300.15,4.115552,0
2,2021-02-15,22:00:00,300.15,3.086664,0
3,2021-02-15,23:00:00,300.15,4.115552,0
4,2021-02-16,00:00:00,300.15,3.601108,0
5,2021-02-16,01:00:00,300.15,3.086664,0
6,2021-02-16,02:00:00,299.15,2.57222,0
7,2021-02-16,03:00:00,300.15,2.057776,0
8,2021-02-16,04:00:00,298.15,1.028888,0
9,2021-02-16,05:00:00,298.15,3.086664,0
10,2021-02-16,06:00:00,298.15,2.057776,426.92866768612
11,2021-02-16,07:00:00,299.15,0,828.948013723836
12,2021-02-16,08:00:00,298.15,0,952.453771165305
13,2021-02-16,09:00:00,299.15,2.057776,1007.10130414731
14,2021-02-16,10:00:00,300.15,1.543332,1033.97881690216
15,2021-02-16,11:00:00,301.15,3.601108,1045.62727744751
16,2021-02-16,12:00:00,301.15,2.57222,1046.22562069357
17,2021-02-16,13:00:00,303.15,5.14444,1035.96838356097
18,2021-02-16,14:00:00,304.15,5.658884,1011.23970564617
19,2021-02-16,15:00:00,303.15,5.658884,960.939350522728
20,2021-02-16,16:00:00,304.15,5.14444,849.703313597007
21,2021-02-16,17:00:00,304.15,4.629996,508.705767093703
22,2021-02-16,18:00:00,303.15,5.658884,0
23,2021-02-16,19:00:00,302.15,5.658884,0
24,2021-02-16,20:00:00,301.15,4.629996,0
25,2021-02-16,21:00:00,300.15,4.115552,0
26,2021-02-16,22:00:00,300.15,4.115552,0
27,2021-02-16,23:00:00,300.15,3.086664,0
28,2021-02-17,00:00:00,300.15,2.057776,0
29,2021-02-17,01:00:00,300.15,2.57222,0
30,2021-02-17,02:00:00,300.15,1.543332,0
31,2021-02-17,03:00:00,300.15,2.057776,0
32,2021-02-17,04:00:00,300.15,2.57222,0
33,2021-02-17,05:00:00,299.15,2.57222,0
34,2021-02-17,06:00:00,299.15,1.028888,424.51986088486
35,2021-02-17,07:00:00,299.15,1.543332,827.51425127505
36,2021-02-17,08:00:00,298.15,2.057776,951.238478517143
37,2021-02-17,09:00:00,299.15,2.057776,1005.96151262555
38,2021-02-17,10:00:00,297.15,2.57222,1032.86828744646
39,2021-02-17,11:00:00,302.15,4.629996,1044.52293334336
40,2021-02-17,12:00:00,303.15,4.629996,1045.1096350938
41,2021-02-17,13:00:00,303.15,5.14444,1034.81929281781
42,2021-02-17,14:00:00,304.15,4.115552,1010.0204306618
43,2021-02-17,15:00:00,304.15,4.629996,959.564082562383
44,2021-02-17,16:00:00,304.15,5.14444,847.893897067209
45,2021-02-17,17:00:00,304.15,5.14444,504.914768753822
46,2021-02-17,18:00:00,303.15,5.14444,0
47,2021-02-17,19:00:00,303.15,5.14444,0
48,2021-02-17,20:00:00,301.15,4.629996,0
49,2021-02-17,21:00:00,300.15,4.115552,0
50,2021-02-17,22:00:00,300.15,4.115552,0
51,2021-02-17,23:00:00,300.15,3.086664,0
52,2021-02-18,00:00:00,300.15,3.601108,0
53,2021-02-18,01:00:00,299.15,2.057776,0
54,2021-02-18,02:00:00,299.15,1.543332,0
55,2021-02-18,03:00:00,298.15,1.028888,0
56,2021-02-18,04:00:00,298.15,1.543332,0
57,2021-02-18,05:00:00,297.15,0,0
58,2021-02-18,06:00:00,297.15,1.543332,422.211389410919
59,2021-02-18,07:00:00,296.15,1.028888,826.07932799505
60,2021-02-18,08:00:00,296.15,0,950.00659144869
61,2021-02-18,09:00:00,297.15,0.514444,1004.80062228945
62,2021-02-18,10:00:00,298.15,1.028888,1031.73450370464
63,2021-02-18,11:00:00,301.15,2.57222,1043.39361249263
64,2021-02-18,12:00:00,302.15,3.601108,1043.96661726886
65,2021-02-18,13:00:00,303.15,4.115552,1033.6401007576
66,2021-02-18,14:00:00,304.15,4.629996,1008.76575708028
67,2021-02-18,15:00:00,304.15,5.14444,958.142677706794
68,2021-02-18,16:00:00,304.15,4.629996,846.009994900778
69,2021-02-18,17:00:00,304.15,4.115552,500.925471938846
70,2021-02-18,18:00:00,303.15,5.14444,0
71,2021-02-18,19:00:00,303.15,4.629996,0
72,2021-02-18,20:00:00,301.15,4.629996,0
73,2021-02-18,21:00:00,300.15,2.57222,0
74,2021-02-18,22:00:00,300.15,1.028888,0
75,2021-02-18,23:00:00,300.15,2.57222,0
76,2021-02-19,00:00:00,299.15,2.57222,0
77,2021-02-19,01:00:00,298.15,0.514444,0
78,2021-02-19,02:00:00,298.15,1.028888,0
79,2021-02-19,03:00:00,298.15,1.543332,0
80,2021-02-19,04:00:00,297.15,0,0
81,2021-02-19,05:00:00,297.15,1.028888,0
82,2021-02-19,06:00:00,297.15,1.028888,420.002181597985
83,2021-02-19,07:00:00,296.15,0,824.643016816734
84,2021-02-19,08:00:00,296.15,1.028888,948.758118753595
85,2021-02-19,09:00:00,296.15,0,1003.61874341432
86,2021-02-19,10:00:00,298.15,2.057776,1030.57762984179
87,2021-02-19,11:00:00,301.15,2.057776,1042.23951298986
88,2021-02-19,12:00:00,302.15,3.086664,1042.79679078445
89,2021-02-19,13:00:00,303.15,3.086664,1032.43105462343
90,2021-02-19,14:00:00,303.15,4.115552,1007.47596009346
91,2021-02-19,15:00:00,304.15,4.115552,956.675450591187
92,2021-02-19,16:00:00,305.15,4.629996,844.051962258064
93,2021-02-19,17:00:00,304.15,5.658884,496.738185662021
94,2021-02-19,18:00:00,303.15,5.658884,0
95,2021-02-19,19:00:00,303.15,6.173328,0
96,2021-02-19,20:00:00,302.15,5.658884,0
97,2021-02-19,21:00:00,300.15,4.629996,0
98,2021-02-19,22:00:00,300.15,4.115552,0
99,2021-02-19,23:00:00,300.15,3.601108,0
100,2021-02-20 00:00:00,,300.15,3.086664,0
101,2021-02-20 01:00:00,,299.15,2.057776,0
102,2021-02-20 02:00:00,,299.15,2.57222,0
103,2021-02-20 03:00:00,,299.15,2.057776,0
104,2021-02-20 04:00:00,,299.15,2.057776,0
105,2021-02-20 05:00:00,,298.15,0.514444,0
106,2021-02-20 06:00:00,,298.15,1.028888,417.890889640863
107,2021-02-20 07:00:00,,298.15,1.028888,823.205058438195
108,2021-02-20 08:00:00,,297.15,1.028888,947.493066583514
109,2021-02-20 09:00:00,,297.15,0,1002.41599090765
110,2021-02-20 10:00:00,,300.15,2.057776,1029.39783738816
111,2021-02-20 11:00:00,,302.15,4.629996,1041.06084177504
112,2021-02-20 12:00:00,,303.15,5.14444,1041.60038924802
113,2021-02-20 13:00:00,,303.15,5.14444,1031.19241306155
114,2021-02-20 14:00:00,,304.15,5.14444,1006.15132820278
115,2021-02-20 15:00:00,,304.15,5.14444,955.162732091222
116,2021-02-20 16:00:00,,304.15,5.14444,842.020174451879
117,2021-02-20 17:00:00,,304.15,5.658884,492.35326872327
118,2021-02-20 18:00:00,,304.15,6.173328,0
119,2021-02-20 19:00:00,,303.15,6.173328,0
120,2021-02-20 20:00:00,,302.15,5.658884,0
121,2021-02-20 21:00:00,,301.15,5.14444,0
122,2021-02-20 22:00:00,,301.15,4.629996,0
123,2021-02-20 23:00:00,,300.15,3.601108,0
124,2021-02-21 01:00:00,,300.15,5.14444,0
125,2021-02-21 02:00:00,,300.15,3.086664,0
126,2021-02-21 03:00:00,,299.15,2.57222,0
127,2021-02-21 04:00:00,,299.15,2.57222,0
128,2021-02-21 05:00:00,,299.15,3.086664,0
129,2021-02-21 06:00:00,,299.15,1.543332,415.875895142379
130,2021-02-21 07:00:00,,298.15,1.543332,821.765161838632
131,2021-02-21 08:00:00,,298.15,1.543332,946.211438556243
132,2021-02-21 09:00:00,,298.15,0,1001.19248430798
133,2021-02-21 10:00:00,,301.15,1.543332,1028.19530521121
134,2021-02-21 11:00:00,,302.15,5.14444,1039.85781462241
135,2021-02-21 12:00:00,,299.15,5.658884,1040.37765634392
136,2021-02-21 13:00:00,,303.15,5.14444,1029.92444623883
137,2021-02-21 14:00:00,,304.15,6.687772,1004.79216351734
138,2021-02-21 15:00:00,,304.15,6.687772,953.604870091819
139,2021-02-21 16:00:00,,304.15,6.687772,839.915029263076
140,2021-02-21 17:00:00,,304.15,6.687772,487.771146272643
141,2021-02-21 18:00:00,,304.15,6.687772,0
142,2021-02-21 19:00:00,,303.15,5.658884,0
143,2021-02-21 20:00:00,,301.15,6.687772,0
144,2021-02-21 21:00:00,,301.15,5.658884,0
145,2021-02-21 22:00:00,,300.15,4.629996,0
146,2021-02-21 23:00:00,,300.15,3.601108,0
147,2021-02-22 00:00:00,,300.15,3.601108,0
148,2021-02-22 01:00:00,,299.15,3.086664,0
149,2021-02-22 02:00:00,,299.15,2.057776,0
150,2021-02-22 03:00:00,,298.15,2.057776,0
151,2021-02-22 04:00:00,,297.15,1.543332,0
152,2021-02-22 05:00:00,,297.15,1.543332,0
153,2021-02-22 06:00:00,,297.15,2.057776,413.955304971622
154,2021-02-22 07:00:00,,297.15,2.057776,820.3230024448
155,2021-02-22 08:00:00,,297.15,2.57222,944.913234838429
156,2021-02-22 09:00:00,,297.15,2.057776,999.948347294889
157,2021-02-22 10:00:00,,299.15,2.057776,1026.97021925003
158,2021-02-22 11:00:00,,302.15,4.115552,1038.63065603896
159,2021-02-22 12:00:00,,302.15,12.93540629136,1039.12884589514
160,2021-02-22 13:00:00,,303.15,6.687772,1028.62743613183
161,2021-02-22 14:00:00,,304.15,6.173328,1003.39878241694
162,2021-02-22 15:00:00,,304.15,5.658884,952.00223099355
163,2021-02-22 16:00:00,,304.15,5.658884,837.736951081423
164,2021-02-22 17:00:00,,305.15,5.658884,482.992333509343
165,2021-02-22 18:00:00,,304.15,5.658884,0
166,2021-02-22 19:00:00,,302.15,5.658884,0
167,2021-02-22 20:00:00,,302.15,6.173328,0
168,2021-02-22 21:00:00,,300.15,5.14444,0
169,2021-02-22 22:00:00,,299.15,4.115552,0
170,2021-02-22 23:00:00,,299.15,3.086664,0
171,2021-02-23 00:00:00,,299.15,2.57222,0
172,2021-02-23 01:00:00,,299.15,2.057776,0
173,2021-02-23 02:00:00,,298.15,2.057776,0
174,2021-02-23 03:00:00,,298.15,1.543332,0
175,2021-02-23 04:00:00,,297.15,1.028888,0
176,2021-02-23 05:00:00,,297.15,1.543332,0
177,2021-02-23 06:00:00,,297.15,1.028888,412.126942441613
178,2021-02-23 07:00:00,,297.15,1.028888,818.878218835346
179,2021-02-23 08:00:00,,296.15,1.543332,943.598450674168
180,2021-02-23 09:00:00,,297.15,1.543332,998.683706889516
181,2021-02-23 10:00:00,,299.15,1.543332,1025.72277209355
182,2021-02-23 11:00:00,,301.15,2.057776,1037.37959909724
183,2021-02-23 12:00:00,,302.15,2.57222,1037.85422193659
184,2021-02-23 13:00:00,,303.15,4.629996,1027.30167689744
185,2021-02-23 14:00:00,,305.15,4.629996,1001.97151644171
186,2021-02-23 15:00:00,,304.15,5.14444,950.35520169944
187,2021-02-23 16:00:00,,305.15,6.173328,835.486396366185
188,2021-02-23 17:00:00,,304.15,6.687772,478.017465950304
189,2021-02-23 18:00:00,,304.15,6.173328,0
190,2021-02-23 19:00:00,,302.15,6.173328,0
191,2021-02-23 20:00:00,,301.15,4.629996,0
192,2021-02-23 21:00:00,,301.15,4.115552,0
193,2021-02-23 22:00:00,,301.15,4.629996,0
194,2021-02-23 23:00:00,,300.15,4.115552,0
195,2021-02-24 00:00:00,,300.15,3.086664,0
196,2021-02-24 01:00:00,,300.15,4.115552,0
197,2021-02-24 02:00:00,,300.15,3.601108,0
198,2021-02-24 03:00:00,,300.15,2.57222,0
199,2021-02-24 04:00:00,,299.15,2.057776,0
200,2021-02-24 05:00:00,,299.15,1.543332,0
201,2021-02-24 06:00:00,,298.15,1.028888,410.388330177673
202,2021-02-24 07:00:00,,298.15,2.057776,817.430407208871
203,2021-02-24 08:00:00,,298.15,1.028888,942.267073927703
204,2021-02-24 09:00:00,,298.15,2.057776,997.398692174942
205,2021-02-24 10:00:00,,300.15,1.543332,1024.45316229334
206,2021-02-24 11:00:00,,302.15,3.601108,1036.10488516764
207,2021-02-24 12:00:00,,302.15,4.115552,1036.55405883117
208,2021-02-24 13:00:00,,303.15,5.14444,1025.94747547583
209,2021-02-24 14:00:00,,304.15,4.629996,1000.51071368806
210,2021-02-24 15:00:00,,305.15,5.658884,948.664192754397
211,2021-02-24 16:00:00,,304.15,5.658884,833.163861972026
212,2021-02-24 17:00:00,,303.15,5.658884,472.847342025208
213,2021-02-24 18:00:00,,303.15,5.14444,0
214,2021-02-24 19:00:00,,303.15,6.173328,0
215,2021-02-24 20:00:00,,302.15,5.14444,0
216,2021-02-24 21:00:00,,301.15,4.629996,0
217,2021-02-24 22:00:00,,300.15,4.115552,0
218,2021-02-24 23:00:00,,301.15,4.115552,0
